Date,Visitor,Home,Time,Location,Week
11/9/2025,Pittsburgh,@ Los Angeles1,5:20 PM,"SoFi Stadium, Inglewood, CA",10
11/10/2025,Philadelphia,@ Green Bay,5:15 PM,"Lambeau Field, Green Bay, WI",10
11/13/2025,New York2,@ New England,5:15 PM,"Gillette Stadium, Foxborough, MA",11
11/16/2025,Washington,@ Miami,6:30 AM,"Santiago Bernabéu, Madrid, Spain",11
11/16/2025,Carolina,@ Atlanta,10:00 AM,"Mercedes-Benz Stadium, Atlanta, GA",11
11/16/2025,Tampa Bay,@ Buffalo,10:00 AM,"Highmark Stadium, Orchard Park, NY",11
11/16/2025,Houston,@ Tennessee,10:00 AM,"Nissan Stadium, Nashville, TN",11
11/16/2025,Chicago,@ Minnesota,10:00 AM,"U.S. Bank Stadium, Minneapolis, MN",11
11/16/2025,Green Bay,@ New York1,10:00 AM,"MetLife Stadium, East Rutherford, NJ",11
11/16/2025,Cincinnati,@ Pittsburgh,10:00 AM,"Acrisure Stadium, Pittsburgh, PA",11
11/16/2025,Los Angeles1,@ Jacksonville,10:00 AM,"EverBank Stadium, Jacksonville, FL",11
11/16/2025,Seattle,@ Los Angeles2,1:05 PM,"SoFi Stadium, Inglewood, CA",11
11/16/2025,San Francisco,@ Arizona,1:05 PM,"State Farm Stadium, Glendale, AZ",11
11/16/2025,Baltimore,@ Cleveland,1:25 PM,"Huntington Bank Field, Cleveland, OH",11
11/16/2025,Kansas City,@ Denver,1:25 PM,"Empower Field at Mile High, Denver, CO",11
11/16/2025,Detroit,@ Philadelphia,5:20 PM,"Lincoln Financial Field, Philadelphia, PA",11
11/17/2025,Dallas,@ Las Vegas,5:15 PM,"Allegiant Stadium, Las Vegas, NV",11
11/20/2025,Buffalo,@ Houston,5:15 PM,"NRG Stadium, Houston, TX",12
11/23/2025,Pittsburgh,@ Chicago,10:00 AM,"Soldier Field, Chicago, IL",12
11/23/2025,New England,@ Cincinnati,10:00 AM,"Paycor Stadium, Cincinnati, OH",12
11/23/2025,New York1,@ Detroit,10:00 AM,"Ford Field, Detroit, MI",12
11/23/2025,Minnesota,@ Green Bay,10:00 AM,"Lambeau Field, Green Bay, WI",12
11/23/2025,Seattle,@ Tennessee,10:00 AM,"Nissan Stadium, Nashville, TN",12
11/23/2025,Indianapolis,@ Kansas City,10:00 AM,"GEHA Field at Arrowhead Stadium, Kansas City, MO",12
11/23/2025,New York2,@ Baltimore,10:00 AM,"M&T Bank Stadium, Baltimore, MD",12
11/23/2025,Cleveland,@ Las Vegas,1:05 PM,"Allegiant Stadium, Las Vegas, NV",12
11/23/2025,Jacksonville,@ Arizona,1:05 PM,"State Farm Stadium, Glendale, AZ",12
11/23/2025,Philadelphia,@ Dallas,1:25 PM,"AT&T Stadium, Arlington, TX",12
11/23/2025,Atlanta,@ New Orleans,1:25 PM,"Caesars Superdome, New Orleans, LA",12
11/23/2025,Tampa Bay,@ Los Angeles2,5:20 PM,"SoFi Stadium, Inglewood, CA",12
11/24/2025,Carolina,@ San Francisco,5:15 PM,"Levi's Stadium, Santa Clara, CA",12
11/27/2025,Green Bay,@ Detroit,10:00 AM,"Ford Field, Detroit, MI",13
11/27/2025,Kansas City,@ Dallas,1:30 PM,"AT&T Stadium, Arlington, TX",13
11/27/2025,Cincinnati,@ Baltimore,5:20 PM,"M&T Bank Stadium, Baltimore, MD",13
