,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,Date,Visitor,Visitor_score,Home,Home_score,OTFlag,Box Score,total_actual,spread_actual,Home_win,Visitor_win,Total_win,Spread_win
54,4,NYG,LAC,43.2,6.9,-6.9,o43.2,u43.2,401772737,-5.5,-6.5,o43.5,-300.0,u45.5,6.5,u43.5,250.0,Mininmal Edge,Mininmal Edge,0.4000000000000003,0.2999999999999971,0.0,0.0,09/28/2025,LAC,18,NYG,21,,Box Score,39,3,True,False,0,0
55,4,NE,CAR,46.4,-4.1,4.1,o46.4,u46.4,401772847,o44.5,5.5,o42.5,200.0,-4.5,-5.5,u42.5,-240.0,Mininmal Edge,Mininmal Edge,1.4000000000000004,3.8999999999999986,0.0,0.0,09/28/2025,CAR,13,NE,42,,Box Score,55,29,True,False,0,0
56,4,DET,CLE,52.9,-14.3,14.3,o52.9,u52.9,401772846,o45.5,10.5,o44.5,400.0,-8.5,-10.5,u44.5,-600.0,Over,Mininmal Edge,3.8000000000000007,8.399999999999999,0.0,1.0,09/28/2025,CLE,10,DET,34,,Box Score,44,24,True,False,0,0
57,4,BUF,NO,47.2,-11.8,11.8,o47.2,u47.2,401772740,o48.5,14.5,o47.5,900.0,-14.5,-14.5,u47.5,-1800.0,Mininmal Edge,Mininmal Edge,2.6999999999999993,0.2999999999999971,0.0,0.0,09/28/2025,NO,19,BUF,31,,Box Score,50,12,True,False,0,0
58,4,ATL,WAS,47.0,-0.8,0.8,o47.0,u47.0,401772739,-3.5,1.5,o43.5,105.0,u46.5,-1.5,u43.5,-125.0,Mininmal Edge,Mininmal Edge,0.7,3.5,0.0,0.0,09/28/2025,WAS,27,ATL,34,,Box Score,61,7,True,False,0,0
59,4,MIA,NYJ,50.2,-9.3,9.3,o50.2,u50.2,401772813,o44.5,2.5,o44.5,125.0,-2.5,-2.5,u44.5,-145.0,Over,Home,6.800000000000001,5.700000000000003,1.0,3.0,09/29/2025,NYJ,21,MIA,27,,Box Score,48,6,True,False,1,1
60,4,DEN,CIN,43.8,-3.8,3.8,o43.8,u43.8,401772716,o44.5,7.5,o44.5,320.0,-7.5,-7.5,u44.5,-425.0,Mininmal Edge,Mininmal Edge,3.7,0.7000000000000028,0.0,0.0,09/29/2025,CIN,3,DEN,28,,Box Score,31,25,True,False,0,0
61,4,DAL,GB,48.2,1.0,-1.0,o48.2,u48.2,401772921,-6.5,-6.5,o46.5,-340.0,u48.5,6.5,u46.5,270.0,Mininmal Edge,Home,5.5,1.7000000000000028,2.0,0.0,09/28/2025,GB,40,DAL,40,OT,Box Score,80,0,False,False,0,0
62,4,LV,CHI,44.6,-1.5,1.5,o44.6,u44.6,401772742,-1.5,1.5,o48.5,-105.0,u47.5,-1.5,u48.5,-115.0,Mininmal Edge,Mininmal Edge,0.0,3.8999999999999986,0.0,0.0,09/28/2025,CHI,25,LV,24,,Box Score,49,1,False,True,0,0
63,5,LA,SF,43.6,-0.4,0.4,o43.6,u43.6,401772939,,9.0,o45.0,,,-9.0,u45.0,,Mininmal Edge,Away,8.6,1.3999999999999986,,,10/02/2025,SF,26,LA,23,OT,Box Score,49,3,False,True,0,0
64,5,JAX,KC,43.8,5.0,-5.0,o43.8,u43.8,401772814,,-3.5,o45.5,,,3.5,u45.5,,Mininmal Edge,Mininmal Edge,1.5,1.7000000000000028,,,10/06/2025,KC,28,JAX,31,,Box Score,59,3,True,False,0,0
65,5,BUF,NE,47.6,-16.9,16.9,o47.6,u47.6,401772922,,9.0,o48.5,,,-9.0,u48.5,,Mininmal Edge,Home,7.899999999999999,0.8999999999999986,,,10/05/2025,NE,23,BUF,20,,Box Score,43,3,False,True,0,0
66,5,LAC,WAS,44.4,-4.8,4.8,o44.4,u44.4,401772853,,3.0,o47.0,,,-3.0,u47.0,,Mininmal Edge,Mininmal Edge,1.7999999999999998,2.6000000000000014,,,10/05/2025,WAS,27,LAC,10,,Box Score,37,17,False,True,0,0
67,5,CIN,DET,45.6,6.6,-6.6,o45.6,u45.6,401772854,,-10.5,o49.5,,,10.5,u49.5,,Mininmal Edge,Mininmal Edge,3.9,3.8999999999999986,,,10/05/2025,DET,37,CIN,24,,Box Score,61,13,False,True,0,0
68,5,SEA,TB,46.5,0.6,-0.6,o46.5,u46.5,401772746,,3.5,o44.5,,,-3.5,u44.5,,Mininmal Edge,Mininmal Edge,2.9,2.0,,,10/05/2025,TB,38,SEA,35,,Box Score,73,3,False,True,0,0
69,5,IND,LV,46.2,-6.1,6.1,o46.2,u46.2,401772851,,7.0,o48.0,,,-7.0,u48.0,,Mininmal Edge,Mininmal Edge,0.9000000000000004,1.7999999999999972,,,10/05/2025,LV,6,IND,40,,Box Score,46,34,True,False,0,0
70,5,ARI,TEN,47.1,-6.5,6.5,o47.1,u47.1,401772747,,7.5,o41.0,,,-7.5,u41.0,,Over,Mininmal Edge,1.0,6.100000000000001,,,10/05/2025,TEN,22,ARI,21,,Box Score,43,1,False,True,1,0
71,5,BAL,HOU,47.7,-8.5,8.5,o47.7,u47.7,401772743,,-1.0,o40.5,,,1.0,u40.5,,Over,Home,7.5,7.200000000000003,,,10/05/2025,HOU,44,BAL,10,,Box Score,54,34,False,True,1,1
72,5,CAR,MIA,43.5,8.4,-8.4,o43.5,u43.5,401772852,,-1.0,o44.0,,,1.0,u44.0,,Mininmal Edge,Away,7.4,0.5,,,10/05/2025,MIA,24,CAR,27,,Box Score,51,3,True,False,0,0
73,5,PHI,DEN,47.6,-6.4,6.4,o47.6,u47.6,401772745,,4.0,o43.5,,,-4.0,u43.5,,Mininmal Edge,Mininmal Edge,2.4000000000000004,4.100000000000001,,,10/05/2025,DEN,21,PHI,17,,Box Score,38,4,False,True,0,0
74,5,NYJ,DAL,42.2,4.7,-4.7,o42.2,u42.2,401772850,,-1.5,o48.0,,,1.5,u48.0,,Under,Mininmal Edge,3.2,5.799999999999997,,,10/05/2025,DAL,37,NYJ,22,,Box Score,59,15,False,True,0,0
75,5,NO,NYG,47.0,-9.3,9.3,o47.0,u47.0,401772744,,2.0,o42.0,,,-2.0,u42.0,,Over,Home,7.300000000000001,5.0,,,10/05/2025,NYG,14,NO,26,,Box Score,40,12,True,False,0,1
76,5,CLE,MIN,39.0,4.1,-4.1,o39.0,u39.0,401772633,,-3.5,o35.5,,,3.5,u35.5,,Mininmal Edge,Mininmal Edge,0.5999999999999996,3.5,,,10/05/2025,MIN,21,CLE,17,,Box Score,38,4,False,True,0,0
77,6,NYG,PHI,42.7,11.8,-11.8,o42.7,u42.7,401772940,-7.5,-7.5,o40.5,-450.0,u42.5,7.5,u40.5,340.0,Mininmal Edge,Mininmal Edge,4.300000000000001,2.200000000000003,0.0,0.0,10/09/2025,PHI,17,NYG,34,,Box Score,51,17,True,False,0,0
78,6,IND,ARI,45.8,-4.6,4.6,o45.8,u45.8,401772856,o46.5,7.5,o46.5,280.0,-5.5,-7.5,u46.5,-360.0,Mininmal Edge,Mininmal Edge,2.9000000000000004,0.7000000000000028,0.0,0.0,10/12/2025,ARI,27,IND,31,,Box Score,58,4,True,False,0,0
